Category,Name,Author,KeyWords
Short story,Samuganeema saha thawath ketikatha,Kithsiri Kariyapperuma,"['Ingrisi', ' Anduwa', ' Wedanawa', ' Biya', ' Kanagatuwa']"
Short story,Dhimuthu muthu,Dimuthu Kalahe,"['Puranaya', ' Dewlowa', ' Paniwidaya', ' Sangramaya', ' Daiwaya']"
Short story,Masun maranno,Akmimana K.G.Karunathilaka,"['Tharjanaya', ' Premaya', ' Wassa', ' Wiwahaya', ' Jiwithaya']"
Short story,Pituwahal kireema,Kithsiri Kariyapperuma,"['Adaraya', ' Rawatima', ' Balaporoththuwa', ' Parithyagaya', ' Sinhala']"
Short story,Dhawal heena,Dharmasiri Gamage,"['Rathriya', ' Prithiya', ' Suhadathawa', ' Jiwithaya', ' Sancharaka']"
Short story,Aluth balaporoththuwak,Saman Pushpa Gunasekara,"['Samawa', ' Adura', ' Sinawa', ' Uthsahaya', ' Kalpanawa']"
Short story,Heli nokala aadaraya,Sugathamuni Knanasiri,"['Awihinsaka', ' Wedanawa', ' Duppath', ' Wiwahaya', ' Sanwegaya']"
Short story,Ekalos ginna,Ogastas Winayagarathnam,"['Sinahawa', ' Sathuta', ' Awasanawa', ' Uthsahaya', ' Raya']"
Short story,Kuda dhosthara- Maha Disapathi,Miniwan P.Thilakarathna,"['Athithaya', ' Sohona', ' Rakiyawa', ' Sewaya', ' Anagathaya']"
Short story,Handhayaya,Miniwan P.Thilakarathna,"['Mathiwaranaya', ' Anduwa', ' Kanagatuwa', ' Bhayanaka', ' Barapathalakama']"
Short story,Aiya wage kenek,Gunasena Withana,"['Duka', ' Puduma', ' Rakiyawa', ' Winodaya', ' Manusathkama']"
Short story,Midhulak nati gedara,Rathnapala withana,"['Jathiya', ' Aurudu', ' Higanna', ' Paluwa', ' Kadulu']"
Short story,Dharana puuja,Maussagolle Sirisumana,"['Kmaththa', ' Rathriya', ' Wahallu', ' Diyunuwa', ' Maranaya']"
Short story,Nishantha Maya saha tawath katha,J.Jayaneththi,"['Thrasaya', 'wishmaya', 'kuthuhalaya', 'premaya', 'wirahawa']"
Short story,Nataka atak,Martin Wikramasighe,"['Sinhala', ' Nirbhaya', ' Kanagatuwa', ' Poronduwa', ' Mahansiya']"
Aesthetics,Sigiri Gee(351-685),Nandhasena Mudiyanse,"['kawya', 'Ithihasaya', 'Sigiri yugaya', 'gee', 'Parani']"
Aesthetics,Kolamba Kawya Sangitha,Kamal Waleboda,"['kawya', 'Sandas', 'Janaprawada', 'Sanskruthika', 'Kolamba Yugaya']"
Aesthetics,Kavi nawak Kolambata,K.K.Saman Kumara,"['Kawya', 'Kolamba Yugaya', 'Sahithya', 'Shungaraya', 'Jeewithaya']"
Aesthetics,Wasi diya dhahara,Saman Chandra Ranasinghe,"['Kawya', 'Nuthana', 'Sanskruthika', 'Samajaya', 'Shokaya']"
Aesthetics,Manusiritha saha Helakavi Sanwada,Jayamaha Piyasena,"['Kawya', 'Parani', 'Sirithwirith', 'Rasaswadhaya', 'Helahaula']"
Aesthetics,Kawyashekaraya,Kirialle Cnanawimala Swamin Wahanse,"['Kawya', 'Parani', 'Jathakakatha', 'Bhashawa', 'Budhudhama']"
Aesthetics,Padma Thatakaya,Sunil Sarath Perera,"['Kawya', 'Geethaya', 'Nuthana', 'Janaprawada', 'Bhashawa']"
Aesthetics,Kalpalatha,Dharshana Rathnayake,"['Kawya', 'Uthantha', 'Dharshanika', 'Wichara', 'Sampradhaya']"
Aesthetics,Asan Paththini Devathawi,Monika Ruwanpathirana,"['Kawya', 'Kiwidhiya', 'Sahithya', 'Wichara', 'Kanthawa']"
Aesthetics,Mal wadam Sinasiya Yuthuya,Dinu Rajaguru,"['Kawya', 'Nisadas', 'Saralabasa', 'Nuthana', 'Jeewithaya']"
Aesthetics,Ima,Janaka Kumara Herath,"['Kawya', 'Katha', 'Nuthana', 'Sandas', 'Charitha']"
Aesthetics,Komala rekha,Sri Chandrarathne Manawasinghe,"['Kawya', 'Gama', 'Samajaya', 'Yatharthaya', 'Parisaraya']"
Aesthetics,Saraya,Wellala Jayamaha,"['Kawya', 'Gaburubasa', 'Parani', 'Janaprawada', 'Janaya']"
