Category,Name,Author,KeyWords
History,Purathana Indheeya Shishtacharaya,H. T. Basnayaka ,"['Shishtachara', ' Indhu nimna', ' Waidhika', ' Magadha Adhirajya', ' Maurya Adhirajya']"
History,Muugal Indhiyawa,W. M. K. Wijethunga,"['Muugal Adhirajya', ' Maha Akbar Raju', ' Sha Jahan', ' Tajmahala', ' Wasthuwidhyawa']"
History,Indheeya Shishtacharaya 2,"H. T. Basnayaka, Yamuna Herath","['Harshawardhana Raju', ' Paala Rajapelapatha', ' Prathihara rajya', ' Rashtakuuta Rajya', ' Chalukya Rajapelapatha']"
History,Aprikanu Wanantharaye Sethapum Wisidhahasak,Sujeewa Dhisanayaka,"['Aprikawa', ' Wananthara', ' Mosi Oa Tunya', ' Hoyo kandha', ' Kiw Wila']"
History,Amerika Eksath Janapadha Ithihasaya 1945-1989,Ukku Banda Karunanandha,"['Dhewana Loka Yudhdhaya', ' Seethala Yudhdhaya', ' Truuman Aisanhawar', ' Kenadi Jonsan', ' Niksan Ford']"
History,Amerika Eksath Janapadha Ithihasaya 1877-1945,Ukku Banda Karunanandha,"['Amerikawa', ' Dheshapalanaya', ' Siwil Yudhdhaya', ' Dhewana Looka Yudhdhaya', ' Bolran Yugaya']"
History,Lookaye Purana Shishtachara Ijipthuwa,Malinga Amarasinha,"['Ijipthuwa', ' Shishtachara', ' Sanskruthiya', ' Wasthuwidhyawa', ' Pirameeda']"
History,Pinbara Thailanthaya Hadhuna Ganimu,Gamini Paliheena,"['Thailanthaya', ' Dhew Raju Sankallpaya', ' Gruha nirmana Shilpaya', ' Muurthi Shilpaya', ' Sangeethaya']"
History,Yuroopaya,Gamini Paliheena,"['Yuroopaya', ' Dhewana pilp Raju', ' Palamuweni Elisabeth Rejina', ' Pranshaye Siwil Yudhdha', ' Westpeliya Giwisuma']"
History,Rusiyanu Wiplawaye Sakshikarayo,"Seenarathna Weerasinha, W. A. D. Tiyudar","['Rusiyawa', ' Wiplawaya', ' Bolshewik wadhaya', ' Pransis Fardinand Kumaru', ' Dheshapalanaya']"
History,Liyon Trotski Rusiyanu Wiplawaye Ithihasaya,T. Andhradhi,"['Rusiyawa', ' Wiplawaya', ' Militari Wiplaweeya Kamituwa', ' Lenin', ' Wintar Maligaya']"
History,Nodutu Japanaya,Sunil Siriwardhana,"['Japanaya', ' Hana Mathsuri', ' Aahara Sanskruthiya', ' Sethsubun Uthsawaya', ' Kafun Sho']"
Novel,Gamperaliya,Martin Wichramasinghe,"['Gama', ' Jana Jeewithaya', ' Aahara', ' Hageem', ' Rathriya']"
Novel,Okkoma Rajawaru,T.B Ilangarathna,"['Gahaniya', ' Minisun', ' Aya', ' Gama', ' Jana Jeewithaya']"
Novel,Dedunna,Shaanthi Disanayake,"['Sundara', ' Premaya', ' Mihiri', ' Nawa Yowun', ' Rasabara']"
Novel,Nikini,Shaanthi Disanayake,"['Sathuta', ' Shookaya', ' Pasuthawili', ' Ridena', ' Kandulu']"
Novel,Warna,Shaanthi Disanayake,"['Wedana', ' Sanasiima', ' Ahasa', ' Gahaniya', ' As']"
Novel,Wara Mal,Shaanthi Disanayake,"['Gama', 'Jana Jeewithaya', ' Awyaaja', ' Aadaraya', ' Premaya']"
Novel,Paradhal,Shaanthi Disanayake,"['Premaya', ' Jeewithaya', ' Aadaraya', ' Sathuta', ' Kandulu']"
Novel,Hondama Potha,T.S Dharmabandhu,"['Kandulu', ' Pasuthawilla', ' Ralu', ' Shookaya', ' Susum']"
Novel,Tharuniya Muudu Yai,T.S Dharmabandhu,"['Tharuna', ' Muhuda', ' Ira', ' Handa', ' Sukumaala']"
Novel,Ira Sewaya,T.S Dharmabandhu,"['Nawa Yowun', ' Gahaniya', ' Sirith', ' Veera', ' Udaara']"
Novel,Asura Widilla,T.S Dharmabandhu,"['Aadaraya', ' Premaya', ' Sathuta', ' Wiwaahaya', ' Mangala']"
Novel,Api Yaalui,Anula De Silva,"['Hageem', ' Sitha', ' Biya', ' Sathuta', ' Pawula']"
Novel,Yasoodarige Sangraamaya,Anula De Silva,"['Kandulu', ' Shookaya', ' Susum', ' Wedana', ' Sitha']"
Novel,Awith Giyaa,Sirisena Maitipe,"['Gama', ' Jana Jeewithaya', ' Samaajaya', ' Aparadha', ' Susum']"
Novel,Panapitin Narakaadiyata,Sirisena Maitipe,"['Rahas', ' Apaaya', ' Sohona', ' Kuthuhalaya', ' Wipaaka']"
Novel,Agaharu Lowa Sathi Dekak,Sirisena Maitipe,"['Rahas', ' Balaporoththu', ' Unusuma', ' Lassana', ' Ramaniiya']"
Novel,Aparadhayakin Pasu,Sirisena Maitipe,"['Gahaniya', ' Kanthaawa', ' Tharuniya', ' Aashaawa', ' Raathriya']"
Novel,Niraasha,Chandrasekara Mallawaarachchi,"['Gahaniya', ' Kanthaawa', ' Aadaraya', ' Premaya', ' Sathuta']"
Novel,Kawdoo Awidin,Chandrasekara Mallawaarachchi,"['Gahaniya', ' Kanthaawa', ' Aadaraya', ' Premaya', ' Sathuta']"
